method,k,silhouette,calinski_harabasz,davies_bouldin,eps,min_samples
gmm,3,0.1064416937408399,108.86986116634769,2.4950218843595384,,
gmm,4,-0.0010912120088502684,58.65749729513445,4.3008291122295255,,
gmm,5,-0.015853793364628707,69.00383019548025,3.5556276171686485,,
gmm,6,0.03104683462170546,106.00588423148567,3.2408350314047936,,
gmm,7,0.06284755736054341,129.61034249421482,2.207424605038829,,
gmm,8,-0.015545589960033721,67.76301331238706,2.66126418058158,,
gmm,9,-0.02020936270849375,65.39769748023937,2.798652989435315,,
gmm,10,-0.03716578454882946,57.851907166319684,2.884545767953071,,
hierarchical_ward,3,0.23904282923750728,330.79227068402196,1.5205241530381899,,
hierarchical_ward,4,0.22113776603291654,269.2515856543959,1.5534158974795997,,
hierarchical_ward,5,0.2110887611004969,238.1935146632131,1.727301855628787,,
hierarchical_ward,6,0.19269033374073816,212.54547497828455,1.731832985860492,,
hierarchical_ward,7,0.12025088811384405,195.74579377453546,1.830806462097037,,
hierarchical_ward,8,0.12626702434359602,183.89610918548792,1.7168186400472583,,
hierarchical_ward,9,0.11254219492733465,171.80169894716062,1.766586266410236,,
hierarchical_ward,10,0.11518203022184517,162.81098212800822,1.7201972449090026,,
dbscan,16,-0.3060220092096804,13.800922405390477,2.3562783899958255,0.8,5.0
dbscan,3,-0.2133391099119314,40.73577208967742,2.605688887906246,0.8,10.0
dbscan,1,-0.03736171253799207,53.941813727338776,1.5368815443107056,0.8,20.0
dbscan,5,-0.18301884758750236,26.705126068123985,2.102174160390921,1.0,5.0
dbscan,2,-0.009831069450510434,84.3629129857336,2.0705257411085713,1.0,10.0
dbscan,1,0.12212997232202888,176.7498107847586,1.5749900020578917,1.0,20.0
dbscan,2,0.08054514047149813,31.36334188658981,3.106019087138138,1.2,5.0
dbscan,2,0.07770981197,48.969540779438795,2.644607558472614,1.2,10.0
dbscan,1,0.15771638856384415,154.5013041070386,2.3945200853910156,1.2,20.0
dbscan,3,0.13687984078657997,18.74140772997273,2.870484587513875,1.5,5.0
dbscan,1,0.25455526774449405,46.43914084835367,3.677007829107189,1.5,10.0
dbscan,1,0.22770213801171998,67.45575000586344,3.4038461372551625,1.5,20.0
